name,type,description,source_chunk,value
SHOP_TYPE,VARCHAR2,"Loại cửa hàng (101: cửa hàng, 201: đại lý uỷ quyền, 202: đại lý chuyên)",378ed878104860e6,
NAME,VARCHAR2,Tên cửa hàng,378ed878104860e6,
ADDRESS,VARCHAR2,Địa chỉ cửa hàng,378ed878104860e6,
LATITUDE,NUMBER,Vĩ độ,378ed878104860e6,
LONGITUDE,NUMBER,Kinh độ,378ed878104860e6,
STATUS,NUMBER,Trạng thái cửa hàng,378ed878104860e6,
SUM_DATE,VARCHAR2,Ngày tổng hợp dữ liệu,378ed878104860e6,
ALL_QUANTITY_DAY,NUMBER,Tổng số thuê bao trong ngày,378ed878104860e6,
MC_QUANTITY_DAY,NUMBER,Số lượng thuê bao trả trước trong ngày,378ed878104860e6,
MF_QUANTITY_DAY,NUMBER,Số lượng thuê bao trả sau trong ngày,378ed878104860e6,
SUM_MONTH,VARCHAR2,Tháng tổng hợp dữ liệu,378ed878104860e6,
ALL_QUANTITY_MONTH,NUMBER,Tổng số thuê bao trong tháng,378ed878104860e6,
MC_QUANTITY_MONTH,NUMBER,Số lượng thuê bao trả trước trong tháng,378ed878104860e6,
MF_QUANTITY_MONTH,NUMBER,Số lượng thuê bao trả sau trong tháng,378ed878104860e6,
BRANCH_CODE,VARCHAR2,Mã TTKD/chi nhánh,378ed878104860e6,
PRECINCT_CODE,VARCHAR2,Mã phường/xã,378ed878104860e6,
,table,,ec0b396a94cf5ff1,"TABLE(pck_report_chatbox.get_new_sub_data_by_precinct (TO_DATE(TO_CHAR(:date), 'dd/mm/yyyy'), UPPER(:user_name)))"
,column,,ec0b396a94cf5ff1,PRECINCT_CODE
,column,,ec0b396a94cf5ff1,PRECINCT_NAME
,column,,ec0b396a94cf5ff1,SUM_DATE
,column,,ec0b396a94cf5ff1,CUAHANG_DAY
,column,,ec0b396a94cf5ff1,CHUOI_DIA_PHUONG_DAY
,column,,ec0b396a94cf5ff1,DLC_DAY
,column,,ec0b396a94cf5ff1,DLUQ_DAY
,column,,ec0b396a94cf5ff1,ONL_DAY
,column,,ec0b396a94cf5ff1,OTHERS_DAY
,column,,ec0b396a94cf5ff1,QUAN_LY_DAY
,column,,ec0b396a94cf5ff1,TKD_KHCN_DAY
,column,,ec0b396a94cf5ff1,TKD_KHDN_DAY
,column,,ec0b396a94cf5ff1,CUAHANG_MONTH
,column,,ec0b396a94cf5ff1,CHUOI_DIA_PHUONG_MONTH
,column,,ec0b396a94cf5ff1,DLC_MONTH
,column,,ec0b396a94cf5ff1,DLUQ_MONTH
,column,,ec0b396a94cf5ff1,ONL_MONTH
,column,,ec0b396a94cf5ff1,OTHERS_MONTH
,column,,ec0b396a94cf5ff1,QUAN_LY_MONTH
,column,,ec0b396a94cf5ff1,TKD_KHCN_MONTH
,column,,ec0b396a94cf5ff1,TKD_KHDN_MONTH
,date,,ec0b396a94cf5ff1,:date
,string,,ec0b396a94cf5ff1,:user_name
PUBLIC_LOCATION,table,Lưu trữ thông tin các điểm dữ liệu địa lý hành chính dùng để hiển thị lên bản đồ số.,c3e5943cb337e23f,
ID,number,Khoá chính,c3e5943cb337e23f,
TYPE,varchar,"Loại địa điểm, bao gồm các giá trị: 'TTHC', 'CA', 'CB', 'BV', 'CD', 'PCCC', 'DN', 'DH'",c3e5943cb337e23f,
TYPE_NAME,varchar,"Tên loại địa điểm, bao gồm các giá trị: 'Trung tâm hành chính', 'Trụ sở công an', 'Cảng biển', 'Bệnh viện', 'Cao đẳng', 'Trạm PCCC', 'Doanh Nghiệp', 'Đại học'",c3e5943cb337e23f,
NAME,varchar,Tên địa điểm,c3e5943cb337e23f,
ADDRESS,varchar,Địa chỉ,c3e5943cb337e23f,
LATITUDE,number,Vĩ độ,c3e5943cb337e23f,
LONGITUDE,number,Kinh độ,c3e5943cb337e23f,
STATUS,number,Trạng thái,c3e5943cb337e23f,
BRAND_CODE,varchar,Mã TTKD/chi nhánh,c3e5943cb337e23f,
PRECINCT_CODE,varchar,Mã phường/xã,c3e5943cb337e23f,
PRECINCT_NAME,varchar,Tên phường/xã,c3e5943cb337e23f,
HUB,varchar,Hub quản lý,c3e5943cb337e23f,
Bảng V_BDS_SITE,table,Lưu trữ thông tin về cell/trạm BTS,5f9080ee02016b76,
CELL_SITE,column,Mã trạm BTS / Cell Site,5f9080ee02016b76,
LATITUDE,column,Vĩ độ,5f9080ee02016b76,
LONGITUDE,column,Kinh độ,5f9080ee02016b76,
STATUS,column,"Trạng thái trạm (1: đang hoạt động, 0: không hoạt động/OFF)",5f9080ee02016b76,
SUM_DATE,column,Ngày tổng hợp dữ liệu,5f9080ee02016b76,
VLR_ALL_DAY,column,Tổng VLR trong ngày,5f9080ee02016b76,
VLR_3G_DAY,column,VLR 3G trong ngày,5f9080ee02016b76,
VLR_4G_DAY,column,VLR 4G trong ngày,5f9080ee02016b76,
VLR_5G_DAY,column,VLR 5G trong ngày,5f9080ee02016b76,
SUM_MONTH,column,Tháng tổng hợp dữ liệu,5f9080ee02016b76,
VLR_ALL_MONTH,column,Tổng VLR trong tháng,5f9080ee02016b76,
VLR_2G_MONTH,column,VLR 2G trong tháng,5f9080ee02016b76,
VLR_3G_MONTH,column,VLR 3G trong tháng,5f9080ee02016b76,
VLR_4G_MONTH,column,VLR 4G trong tháng,5f9080ee02016b76,
VLR_5G_MONTH,column,VLR 5G trong tháng,5f9080ee02016b76,
CLTC_MONTH,column,Tháng ghi nhận chênh lệch thu chi,5f9080ee02016b76,
CLTC,column,Chỉ số chất lượng chênh lệch thu chi,5f9080ee02016b76,
BRANCH_CODE,column,Mã TTKD/chi nhánh,5f9080ee02016b76,
PRECINCT_CODE,column,Mã phường/xã,5f9080ee02016b76,
Bảng TABLE,Table,Lưu trữ thông tin số lượng VLR.,20969af433bff5fe,
PRECINCT_CODE,Column,Mã phường/xã,20969af433bff5fe,
PRECINCT_NAME,Column,Tên phường/xã,20969af433bff5fe,
SUM_DATE,Column,Ngày báo cáo dữ liệu VLR,20969af433bff5fe,
MOBIFONE_VLR_QUANTITY_DAY,Column,Số lượng VLR MobiFone trong ngày,20969af433bff5fe,
SAYMEE_VLR_QUANTITY_DAY,Column,Số lượng VLR Saymee trong ngày,20969af433bff5fe,
SUM_MONTH,Column,Tháng báo cáo dữ liệu VLR,20969af433bff5fe,
MOBIFONE_VLR_QUANTITY_MONTH,Column,Số lượng VLR MobiFone trong tháng,20969af433bff5fe,
SAYMEE_VLR_QUANTITY_MONTH,Column,Số lượng VLR Saymee trong tháng,20969af433bff5fe,
VLR,Concept,Volume of Long Reach (VLR),20969af433bff5fe,
MobiFone,Concept,MobiFone (telecom company),20969af433bff5fe,
Saymee,Concept,Saymee (telecom company),20969af433bff5fe,
Date,Column,ngày phát triển thuê bao,20969af433bff5fe,
User Name,Column,user name,20969af433bff5fe,
Precinct User Permission,Table,Bảng V_USER_PRECINCT_PERMISSION,20969af433bff5fe,
Precinct,Concept,Precinct (administrative division),20969af433bff5fe,
Bảng ĐS (NEW),Concept,Mô tả bảng BĐS (NEW),20969af433bff5fe,
pck_report_chatbox.get_vlr_data_by_precinct,Function,"TABLE(pck_report_chatbox.get_vlr_data_by_precinct (TO_DATE(TO_CHAR(:date), 'dd/mm/yyyy'), UPPER(:user_name)))",20969af433bff5fe,
TKC,Concept,Báo cáo doanh thu TKC,20969af433bff5fe,
N-2,Timestamp,Dữ liệu mới nhất là ngày N-2,20969af433bff5fe,
N,Timestamp,Ngày phát triển thuê bao,20969af433bff5fe,
Precinct Code,Code,Mã phường/xã,2f405962fce66ee3,
Precinct Name,Name,Tên phường/xã,2f405962fce66ee3,
Date,Date,Ngày báo cáo doanh thu,2f405962fce66ee3,
MOBIFONE TKC Revenue (Day),Revenue,Doanh thu TKC MobiFone trong ngày,2f405962fce66ee3,
SAYMEE TKC Revenue (Day),Revenue,Doanh thu TKC Saymee trong ngày,2f405962fce66ee3,
BHM Revenue (Day),Revenue,Doanh thu BHM trong ngày,2f405962fce66ee3,
MOBIFONE TKC Revenue (Month),Revenue,Doanh thu TKC MobiFone trong tháng,2f405962fce66ee3,
SAYMEE TKC Revenue (Month),Revenue,Doanh thu TKC Saymee trong tháng,2f405962fce66ee3,
BHM Revenue (Month),Revenue,Doanh thu BHM trong tháng,2f405962fce66ee3,
User Name,Name,Tên người dùng được truy cập,2f405962fce66ee3,
Bảng,TABLE,Lưu trữ thông tin doanh thu tài khoản chính,2f405962fce66ee3,
PRECINCT_CODE,Code,Mã phường/xã,2f405962fce66ee3,
PRECINCT_NAME,Name,Tên phường/xã,2f405962fce66ee3,
SUM_DATE,Date,Ngày báo cáo doanh thu,2f405962fce66ee3,
MOBIFONE_TKC_REV_DAY,Revenue,Doanh thu TKC MobiFone trong ngày,2f405962fce66ee3,
SAYMEE_TKC_REV_DAY,Revenue,Doanh thu TKC Saymee trong ngày,2f405962fce66ee3,
BHM_REV_DAY,Revenue,Doanh thu BHM trong ngày,2f405962fce66ee3,
SUM_MONTH,Date,Tháng báo cáo doanh thu,2f405962fce66ee3,
MOBIFONE_TKC_REV_MONTH,Revenue,Doanh thu TKC MobiFone trong tháng,2f405962fce66ee3,
SAYMEE_TKC_REV_MONTH,Revenue,Doanh thu TKC Saymee trong tháng,2f405962fce66ee3,
BHM_REV_MONTH,Revenue,Doanh thu BHM trong tháng,2f405962fce66ee3,
pck_report_chatbox,Function,Hàm xử lý báo cáo doanh thu TKC,2f405962fce66ee3,
TO_DATE,Function,Дата конвертация,2f405962fce66ee3,
TO_CHAR,Function,Конвертация тип строк,2f405962fce66ee3,
UPPER,Function,Конвертация тип строк,2f405962fce66ee3,
V_USER_PRECINCT_PERMISSION,TABLE,Lưu trữ thông tin phân quyền,2f405962fce66ee3,
LOCATION_GROUP,table,Table storing information about location groups.,eb8d872f0ba67f55,
ID,NUMBER,Primary key.,eb8d872f0ba67f55,
Name,VARCHAR2,Name of the location group.,eb8d872f0ba67f55,
objects,objects,The objects associated with this location group.,eb8d872f0ba67f55,
names,names,The names associated with this location group.,eb8d872f0ba67f55,
items,items,The items associated with this location group.,eb8d872f0ba67f55,
concepts,concepts,The concepts associated with this location group.,eb8d872f0ba67f55,
Bảng BĐS (NEW),table,Table storing information about location groups.,eb8d872f0ba67f55,
Mô tả,text,Description of the table.,eb8d872f0ba67f55,
Quản lý công việc và dự án,category,Category of the table.,eb8d872f0ba67f55,
location_groups,table,Table storing information about location groups.,eb8d872f0ba67f55,
ID,NUMBER,Khoá chính,39ffb880cf0d5103,
NAME,VARCHAR2,Tên dự án,39ffb880cf0d5103,
LOCATION_GROUP_ID,NUMBER,Mã nhóm địa điểm liên kết,39ffb880cf0d5103,
Bảng PROJECT,concept,Lưu trữ thông tin dự án,39ffb880cf0d5103,
BẬNG PROJECT,concept,Lưu trữ thông tin dự án.,39ffb880cf0d5103,
NAME,VARCHAR2,Tên dự án,39ffb880cf0d5103,
LOCATION_GROUP_ID,NUMBER,Mã nhóm địa điểm liên kết,39ffb880cf0d5103,
ID,NUMBER,Khoá chính,39ffb880cf0d5103,
ID,NUMBER,Mã định danh địa điểm,88fdbdc40769b0bd,
ADDRESS,VARCHAR2,Địa chỉ địa điểm,88fdbdc40769b0bd,
LAT,NUMBER,Vĩ độ,88fdbdc40769b0bd,
LON,NUMBER,Kinh độ,88fdbdc40769b0bd,
NAME,VARCHAR2,Tên địa điểm,88fdbdc40769b0bd,
LOCATION_GROUP_ID,NUMBER,Mã nhóm địa điểm,88fdbdc40769b0bd,
PROJECT_ID,NUMBER,Mã dự án,88fdbdc40769b0bd,
PRECINCT_NAME,VARCHAR2,Tên phường/xã,88fdbdc40769b0bd,
HUB,VARCHAR2,Hub quản lý,88fdbdc40769b0bd,
BRANCH_NAME,VARCHAR2,Tên TTKD/chi nhánh,88fdbdc40769b0bd,
NEW,VARCHAR2,Mô tả bảng BĐS,88fdbdc40769b0bd,
Bảng V_MAN_TASK,table,Lưu trữ thông tin các công việc được khai báo,7ba8d44ad6495b36,
ID,NUMBER,Mã định danh công việc,7ba8d44ad6495b36,
CREATED_DATE,TIMESTAMP,Thời gian tạo bản ghi,7ba8d44ad6495b36,
END_DATE,TIMESTAMP,Ngày kết thúc công việc,7ba8d44ad6495b36,
NAME,VARCHAR2,Tên công việc,7ba8d44ad6495b36,
PRIORITY,VARCHAR2,Mức độ ưu tiên,7ba8d44ad6495b36,
START_DATE,TIMESTAMP,Ngày bắt đầu công việc,7ba8d44ad6495b36,
PROGRESS_ID,NUMBER,Tiến độ thực hiện,7ba8d44ad6495b36,
location_id,NUMBER,Mã địa điểm,7ba8d44ad6495b36,
project_id,NUMBER,Mã dự án,7ba8d44ad6495b36,
assigner_staff_id,NUMBER,Mã Người giao,7ba8d44ad6495b36,
assignee_staff_id,NUMBER,Mã Người nhận,7ba8d44ad6495b36,
Bảng V_MAN_TASK,table,Lưu trữ thông tin các công việc được khai báo,7ba8d44ad6495b36,
ID,NUMBER,Mã định danh công việc,7ba8d44ad6495b36,
CREATED_DATE,TIMESTAMP,Thời gian tạo bản ghi,7ba8d44ad6495b36,
END_DATE,TIMESTAMP,Ngày kết thúc công việc,7ba8d44ad6495b36,
NAME,VARCHAR2,Tên công việc,7ba8d44ad6495b36,
PRIORITY,VARCHAR2,Mức độ ưu tiên,7ba8d44ad6495b36,
START_DATE,TIMESTAMP,Ngày bắt đầu công việc,7ba8d44ad6495b36,
PROGRESS_ID,NUMBER,Tiến độ thực hiện,7ba8d44ad6495b36,
location_id,NUMBER,Mã địa điểm,7ba8d44ad6495b36,
project_id,NUMBER,Mã dự án,7ba8d44ad6495b36,
assigner_staff_id,NUMBER,Mã Người giao,7ba8d44ad6495b36,
assignee_staff_id,NUMBER,Mã Người nhận,7ba8d44ad6495b36,
ID,NUMBER,Mã định danh người dùng,74c47a8c81569eb3,
FULL_NAME,VARCHAR2,Họ và tên người dùng,74c47a8c81569eb3,
GENDER,NUMBER,Giới tính,74c47a8c81569eb3,
ISDN,VARCHAR2,Số thuê bao/số điện thoại,74c47a8c81569eb3,
