source,target,description,source_chunk,type,value,to
ID,PRECINCT_NAME,"Liên kết với bảng khác qua cột ID, PRECINCT_NAME",88fdbdc40769b0bd,,,
BÀNG,QUẢN LÝ CÔNG VIỆC VÀ DỰ ÁN,Liên kết với Quản lý công việc và dự án qua cột LOCATION,88fdbdc40769b0bd,,,
Bảng V_MAN_TASK,ID, Liên kết với các bảng khác qua cột ID,7ba8d44ad6495b36,,,
Bảng V_MAN_TASK,PROGRESS_ID,Liên kết với các bảng khác qua cột PROGRESS_ID,7ba8d44ad6495b36,,,
Bảng V_MAN_TASK,LOCATION_ID,Liên kết với các bảng khác qua cột LOCATION_ID,7ba8d44ad6495b36,,,
Bảng V_MAN_TASK,PROJECT_ID,Liên kết với các bảng khác qua cột PROJECT_ID,7ba8d44ad6495b36,,,
Bảng V_MAN_TASK,assigner_staff_id,Liên kết với các bảng khác qua cột assigner_staff_id,7ba8d44ad6495b36,,,
Bảng V_MAN_TASK,assignee_staff_id,Liên kết với các bảng khác qua cột assignee_staff_id,7ba8d44ad6495b36,,,
Bảng V_MAN_TASK,ID,Liên kết với các bảng khác qua cột ID,7ba8d44ad6495b36,,,
Bảng V_MAN_TASK,PROGRESS_ID,Liên kết với các bảng khác qua cột PROGRESS_ID,7ba8d44ad6495b36,,,
Bảng V_MAN_TASK,LOCATION_ID,Liên kết với các bảng khác qua cột LOCATION_ID,7ba8d44ad6495b36,,,
Bảng V_MAN_TASK,PROJECT_ID,Liên kết với các bảng khác qua cột PROJECT_ID,7ba8d44ad6495b36,,,
Bảng V_MAN_TASK,assigner_staff_id,Liên kết với các bảng khác qua cột assigner_staff_id,7ba8d44ad6495b36,,,
Bảng V_MAN_TASK,assignee_staff_id,Liên kết với các bảng khác qua cột assignee_staff_id,7ba8d44ad6495b36,,,
V_CAT_STAFF,other tables, Liên kết với các bảng khác qua cột ID,74c47a8c81569eb3,,,
